撫子,nadeshiko,#DC9FB4
菜の花,nanohana,#F7D94C
黄蘗,kihada,#FBE251
蒸栗,mushikuri,#D9CD90
青朽葉,aokuchiba,#ADA142
女郎花,ominaeshi,#DDD23B
鶸茶,hiwacha,#A5A051
鶸,hiwa,#BEC23F
鶯,uguisu,#6C6A2D
柳茶,yanagicha,#939650
苔,koke,#838A2D
麹塵,kikujin,#B1B479
璃寛茶,rikancha,#616138
藍媚茶,aikobicha,#4B4E2A
海松,miru,#5B622E
千歳茶,sensaicha,#4D5139
梅幸茶,baikocha,#89916B
鶸萌黄,hiwamoegi,#90B44B
柳染,yanagizome,#91AD70
裏柳,urayanagi,#B5CAA0
岩井茶,iwaicha,#646A58
萌黄,moegi,#7BA23F
苗,nae,#86C166
柳煤竹,yanagisusutake,#4A593D
松葉,matsuba,#42602D
青丹,aoni,#516E41
薄青,usuao,#91B493
柳鼠,yanaginezumi,#808F7C
常磐,tokiwa,#1B813E
若竹,wakatake,#5DAC81
千歳緑,chitosemidori,#36563C
緑,midori,#227D51
白緑,byakuroku,#A8D8B9
老竹,oitake,#6A8372
木賊,tokusa,#2D6D4B
御納戸茶,onandocha,#465D4C
緑青,rokusyoh,#24936E
錆青磁,sabiseiji,#86A697
青竹,aotake,#00896C
ビロード,veludo,#096148
虫襖,mushiao,#20604F
藍海松茶,aimirucha,#0F4C3A
沈香茶,tonocha2,#4F726C
青緑,aomidori,#00AA90
青磁,seiji,#69B0AC
鉄,tetsu,#26453D
水浅葱,mizuasagi,#66BAB7
青碧,seiheki,#268785
錆鉄御納戸,sabitetsuonando,#405B55
高麗納戸,korainando,#305A56
白群,byakugun,#78C2C4
御召茶,omeshicha,#376B6D
瓶覗,kamenozoki,#A5DEE4
深川鼠,fukagawanezumi,#77969A
錆浅葱,sabiasagi,#6699A1
水,mizu,#81C7D4
浅葱,asagi,#33A6B8
御納戸,onando,#0C4842
藍,ai,#0D5661
新橋,shinbashi,#0089A7
錆御納戸,sabionando,#336774
鉄御納戸,tetsuonando,#255359
花浅葱,hanaasagi,#1E88A8
藍鼠,ainezumi,#566C73
舛花,masuhana,#577C8A
空,sora,#58B2DC
熨斗目花,noshimehana,#2B5F75
千草,chigusa,#3A8FB7
御召御納戸,omeshionando,#2E5C6E
縹,hanada,#006284
勿忘草,wasurenagusa,#7DB9DE
群青,gunjyo,#51A8DD
露草,tsuyukusa,#2EA9DF
黒橡,kurotsurubami,#0B1013
紺,kon,#0F2540
褐,kachi,#08192D
瑠璃,ruri,#005CAF
瑠璃紺,rurikon,#0B346E
紅碧,benimidori,#7B90D2
藤鼠,fujinezumi,#6E75A4
鉄紺,tetsukon,#261E47
紺青,konjyo,#113285
紅掛花,benikakehana,#4E4F97
紺桔梗,konkikyo,#211E55
藤,fuji,#8B81C3
二藍,futaai,#70649A
楝,ouchi,#9B90C2
藤紫,fujimurasaki,#8A6BBE
桔梗,kikyo,#6A4C9C
紫苑,shion,#8F77B5
滅紫,messhi,#533D5B
薄,usu,#B28FCE
半,hashita,#986DB2
江戸紫,edomurasaki,#77428D
紫紺,shikon,#3C2F41
深紫,kokimurasaki,#4A225D
菫,sumire,#66327C
紫,murasaki,#592C63
菖蒲,ayame,#6F3381
藤煤竹,fujisusutake,#574C57
紅藤,benifuji,#B481BB
黒紅,kurobeni,#3F2B36
茄子紺,nasukon,#572A3F
葡萄鼠,budohnezumi,#5E3D50
鳩羽鼠,hatobanezumi,#72636E
杜若,kakitsubata,#622954
蒲葡,ebizome,#6D2E5B
牡丹,botan,#C1328E
梅紫,umemurasaki,#A8497A
似紫,nisemurasaki,#562E37
躑躅,tsutsuji,#E03C8A
紫鳶,murasakitobi,#60373E
白練,shironeri,#FCFAF2
胡粉,gofun,#FFFFFB
白鼠,shironezumi,#BDC0BA
銀鼠,ginnezumi,#91989F
鉛,namari,#787878
灰,hai,#828282
素鼠,sunezumi,#787D7B
利休鼠,rikyunezumi,#707C74
鈍,nibi,#656765
青鈍,aonibi,#535953
溝鼠,dobunezumi,#4F4F48
紅消鼠,benikeshinezumi,#52433D
藍墨茶,aisumicha,#373C38
檳榔子染,binrojizome,#3A3226
消炭,keshizumi,#434343
墨,sumi,#1C1C1C
黒,kuro,#080808
呂,ro,#0C0C0C
